GlobalAyahNo,SurahNameEnglish,SurahNameArabic,SurahAyahRefNumeric,SurahAyahRefArabic,ArabicText,Translation,GlyphV1,GlyphV2,PageNoEnglish,PageNoArabic
42,Surah Al-Baqarah,سورة البقرة,2:35,٢:٣٥,وَقُلۡنَا یَـٰۤـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَیۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هَـٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّـٰلِمِینَ ۝٣٥,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""",ﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧ,ﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶ,6,٦
43,Surah Al-Baqarah,سورة البقرة,2:36,٢:٣٦,فَأَزَلَّهُمَا ٱلشَّیۡطَـٰنُ عَنۡهَا فَأَخۡرَجَهُمَا مِمَّا كَانَا فِیهِۖ وَقُلۡنَا ٱهۡبِطُوا۟ بَعۡضُكُمۡ لِبَعۡضٍ عَدُوࣱّۖ وَلَكُمۡ فِی ٱلۡأَرۡضِ مُسۡتَقَرࣱّ وَمَتَـٰعٌ إِلَىٰ حِینࣲ ۝٣٦,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""",ﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽ,ﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌ,6,٦
44,Surah Al-Baqarah,سورة البقرة,2:37,٢:٣٧,فَتَلَقَّىٰۤ ءَادَمُ مِن رَّبِّهِۦ كَلِمَـٰتࣲ فَتَابَ عَلَیۡهِۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِیمُ ۝٣٧,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.",ﯾﯿﰀﰁﰂﰃﰄﰅﰆﰇﰈﰉﰊ,ﳍﳎﳏﳐﳑﳒﳓﳔﳕﳖﳗﳘﳙ,6,٦
45,Surah Al-Baqarah,سورة البقرة,2:38,٢:٣٨,قُلۡنَا ٱهۡبِطُوا۟ مِنۡهَا جَمِیعࣰاۖ فَإِمَّا یَأۡتِیَنَّكُم مِّنِّی هُدࣰى فَمَن تَبِعَ هُدَایَ فَلَا خَوۡفٌ عَلَیۡهِمۡ وَلَا هُمۡ یَحۡزَنُونَ ۝٣٨,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓ,7,٧
46,Surah Al-Baqarah,سورة البقرة,2:39,٢:٣٩,وَٱلَّذِینَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔایَـٰتِنَاۤ أُو۟لَـٰۤىِٕكَ أَصۡحَـٰبُ ٱلنَّارِۖ هُمۡ فِیهَا خَـٰلِدُونَ ۝٣٩,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",ﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯ,ﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟ,7,٧
47,Surah Al-Baqarah,سورة البقرة,2:40,٢:٤٠,یَـٰبَنِیۤ إِسۡرَ ٰ⁠ۤءِیلَ ٱذۡكُرُوا۟ نِعۡمَتِیَ ٱلَّتِیۤ أَنۡعَمۡتُ عَلَیۡكُمۡ وَأَوۡفُوا۟ بِعَهۡدِیۤ أُوفِ بِعَهۡدِكُمۡ وَإِیَّـٰیَ فَٱرۡهَبُونِ ۝٤٠,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.",ﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽ,ﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭ,7,٧
48,Surah Al-Baqarah,سورة البقرة,2:41,٢:٤١,وَءَامِنُوا۟ بِمَاۤ أَنزَلۡتُ مُصَدِّقࣰا لِّمَا مَعَكُمۡ وَلَا تَكُونُوۤا۟ أَوَّلَ كَافِرِۭ بِهِۦۖ وَلَا تَشۡتَرُوا۟ بِـَٔایَـٰتِی ثَمَنࣰا قَلِیلࣰا وَإِیَّـٰیَ فَٱتَّقُونِ ۝٤١,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.",ﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑ,ﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁ,7,٧
49,Surah Al-Baqarah,سورة البقرة,2:42,٢:٤٢,وَلَا تَلۡبِسُوا۟ ٱلۡحَقَّ بِٱلۡبَـٰطِلِ وَتَكۡتُمُوا۟ ٱلۡحَقَّ وَأَنتُمۡ تَعۡلَمُونَ ۝٤٢,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).",ﮒﮓﮔﮕﮖﮗﮘﮙﮚ,ﲂﲃﲄﲅﲆﲇﲈﲉﲊ,7,٧
50,Surah Al-Baqarah,سورة البقرة,2:43,٢:٤٣,وَأَقِیمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَٱرۡكَعُوا۟ مَعَ ٱلرَّ ٰ⁠كِعِینَ ۝٤٣,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,ﮛﮜﮝﮞﮟﮠﮡﮢ,ﲋﲌﲍﲎﲏﲐﲑﲒ,7,٧
51,Surah Al-Baqarah,سورة البقرة,2:44,٢:٤٤,۞ أَتَأۡمُرُونَ ٱلنَّاسَ بِٱلۡبِرِّ وَتَنسَوۡنَ أَنفُسَكُمۡ وَأَنتُمۡ تَتۡلُونَ ٱلۡكِتَـٰبَۚ أَفَلَا تَعۡقِلُونَ ۝٤٤,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",ﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯ,ﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟ,7,٧
52,Surah Al-Baqarah,سورة البقرة,2:45,٢:٤٥,وَٱسۡتَعِینُوا۟ بِٱلصَّبۡرِ وَٱلصَّلَوٰةِۚ وَإِنَّهَا لَكَبِیرَةٌ إِلَّا عَلَى ٱلۡخَـٰشِعِینَ ۝٤٥,"Nay, seek (Allah´s) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-",ﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚ,ﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩ,7,٧
53,Surah Al-Baqarah,سورة البقرة,2:46,٢:٤٦,ٱلَّذِینَ یَظُنُّونَ أَنَّهُم مُّلَـٰقُوا۟ رَبِّهِمۡ وَأَنَّهُمۡ إِلَیۡهِ رَ ٰ⁠جِعُونَ ۝٤٦,"Who bear in mind the certainty that they are to meet their Lord, and that they are to return to Him.",ﯛﯜﯝﯞﯟﯠﯡﯢﯣ,ﲪﲫﲬﲭﲮﲯﲰﲱﲲ,7,٧
54,Surah Al-Baqarah,سورة البقرة,2:47,٢:٤٧,یَـٰبَنِیۤ إِسۡرَ ٰ⁠ۤءِیلَ ٱذۡكُرُوا۟ نِعۡمَتِیَ ٱلَّتِیۤ أَنۡعَمۡتُ عَلَیۡكُمۡ وَأَنِّی فَضَّلۡتُكُمۡ عَلَى ٱلۡعَـٰلَمِینَ ۝٤٧,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).",ﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯ,ﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾ,7,٧
55,Surah Al-Baqarah,سورة البقرة,2:48,٢:٤٨,وَٱتَّقُوا۟ یَوۡمࣰا لَّا تَجۡزِی نَفۡسٌ عَن نَّفۡسࣲ شَیۡـࣰٔا وَلَا یُقۡبَلُ مِنۡهَا شَفَـٰعَةࣱ وَلَا یُؤۡخَذُ مِنۡهَا عَدۡلࣱ وَلَا هُمۡ یُنصَرُونَ ۝٤٨,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",ﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁﰂﰃ,ﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎﳏﳐﳑﳒ,7,٧
56,Surah Al-Baqarah,سورة البقرة,2:49,٢:٤٩,وَإِذۡ نَجَّیۡنَـٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ یَسُومُونَكُمۡ سُوۤءَ ٱلۡعَذَابِ یُذَبِّحُونَ أَبۡنَاۤءَكُمۡ وَیَسۡتَحۡیُونَ نِسَاۤءَكُمۡۚ وَفِی ذَ ٰ⁠لِكُم بَلَاۤءࣱ مِّن رَّبِّكُمۡ عَظِیمࣱ ۝٤٩,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔ,8,٨
57,Surah Al-Baqarah,سورة البقرة,2:50,٢:٥٠,وَإِذۡ فَرَقۡنَا بِكُمُ ٱلۡبَحۡرَ فَأَنجَیۡنَـٰكُمۡ وَأَغۡرَقۡنَاۤ ءَالَ فِرۡعَوۡنَ وَأَنتُمۡ تَنظُرُونَ ۝٥٠,And remember We divided the sea for you and saved you and drowned Pharaoh´s people within your very sight.,ﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯ,ﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟ,8,٨
58,Surah Al-Baqarah,سورة البقرة,2:51,٢:٥١,وَإِذۡ وَ ٰ⁠عَدۡنَا مُوسَىٰۤ أَرۡبَعِینَ لَیۡلَةࣰ ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ وَأَنتُمۡ ظَـٰلِمُونَ ۝٥١,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.",ﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼ,ﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬ,8,٨
59,Surah Al-Baqarah,سورة البقرة,2:52,٢:٥٢,ثُمَّ عَفَوۡنَا عَنكُم مِّنۢ بَعۡدِ ذَ ٰ⁠لِكَ لَعَلَّكُمۡ تَشۡكُرُونَ ۝٥٢,Even then We did forgive you; there was a chance for you to be grateful.,ﭽﭾﭿﮀﮁﮂﮃﮄﮅ,ﱭﱮﱯﱰﱱﱲﱳﱴﱵ,8,٨
60,Surah Al-Baqarah,سورة البقرة,2:53,٢:٥٣,وَإِذۡ ءَاتَیۡنَا مُوسَى ٱلۡكِتَـٰبَ وَٱلۡفُرۡقَانَ لَعَلَّكُمۡ تَهۡتَدُونَ ۝٥٣,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,ﮆﮇﮈﮉﮊﮋﮌﮍ,ﱶﱷﱸﱹﱺﱻﱼﱽ,8,٨
61,Surah Al-Baqarah,سورة البقرة,2:54,٢:٥٤,وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِۦ یَـٰقَوۡمِ إِنَّكُمۡ ظَلَمۡتُمۡ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلۡعِجۡلَ فَتُوبُوۤا۟ إِلَىٰ بَارِىِٕكُمۡ فَٱقۡتُلُوۤا۟ أَنفُسَكُمۡ ذَ ٰ⁠لِكُمۡ خَیۡرࣱ لَّكُمۡ عِندَ بَارِىِٕكُمۡ فَتَابَ عَلَیۡكُمۡۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِیمُ ۝٥٤,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.",ﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩ,ﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙ,8,٨
62,Surah Al-Baqarah,سورة البقرة,2:55,٢:٥٥,وَإِذۡ قُلۡتُمۡ یَـٰمُوسَىٰ لَن نُّؤۡمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهۡرَةࣰ فَأَخَذَتۡكُمُ ٱلصَّـٰعِقَةُ وَأَنتُمۡ تَنظُرُونَ ۝٥٥,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",ﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙ,ﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨ,8,٨
63,Surah Al-Baqarah,سورة البقرة,2:56,٢:٥٦,ثُمَّ بَعَثۡنَـٰكُم مِّنۢ بَعۡدِ مَوۡتِكُمۡ لَعَلَّكُمۡ تَشۡكُرُونَ ۝٥٦,Then We raised you up after your death: Ye had the chance to be grateful.,ﯚﯛﯜﯝﯞﯟﯠﯡ,ﲩﲪﲫﲬﲭﲮﲯﲰ,8,٨
64,Surah Al-Baqarah,سورة البقرة,2:57,٢:٥٧,وَظَلَّلۡنَا عَلَیۡكُمُ ٱلۡغَمَامَ وَأَنزَلۡنَا عَلَیۡكُمُ ٱلۡمَنَّ وَٱلسَّلۡوَىٰۖ كُلُوا۟ مِن طَیِّبَـٰتِ مَا رَزَقۡنَـٰكُمۡۚ وَمَا ظَلَمُونَا وَلَـٰكِن كَانُوۤا۟ أَنفُسَهُمۡ یَظۡلِمُونَ ۝٥٧,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.",ﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶ,ﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅ,8,٨
65,Surah Al-Baqarah,سورة البقرة,2:58,٢:٥٨,وَإِذۡ قُلۡنَا ٱدۡخُلُوا۟ هَـٰذِهِ ٱلۡقَرۡیَةَ فَكُلُوا۟ مِنۡهَا حَیۡثُ شِئۡتُمۡ رَغَدࣰا وَٱدۡخُلُوا۟ ٱلۡبَابَ سُجَّدࣰا وَقُولُوا۟ حِطَّةࣱ نَّغۡفِرۡ لَكُمۡ خَطَـٰیَـٰكُمۡۚ وَسَنَزِیدُ ٱلۡمُحۡسِنِینَ ۝٥٨,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖ,9,٩
66,Surah Al-Baqarah,سورة البقرة,2:59,٢:٥٩,فَبَدَّلَ ٱلَّذِینَ ظَلَمُوا۟ قَوۡلًا غَیۡرَ ٱلَّذِی قِیلَ لَهُمۡ فَأَنزَلۡنَا عَلَى ٱلَّذِینَ ظَلَمُوا۟ رِجۡزࣰا مِّنَ ٱلسَّمَاۤءِ بِمَا كَانُوا۟ یَفۡسُقُونَ ۝٥٩,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.",ﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹ,ﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩ,9,٩
67,Surah Al-Baqarah,سورة البقرة,2:60,٢:٦٠,۞ وَإِذِ ٱسۡتَسۡقَىٰ مُوسَىٰ لِقَوۡمِهِۦ فَقُلۡنَا ٱضۡرِب بِّعَصَاكَ ٱلۡحَجَرَۖ فَٱنفَجَرَتۡ مِنۡهُ ٱثۡنَتَا عَشۡرَةَ عَیۡنࣰاۖ قَدۡ عَلِمَ كُلُّ أُنَاسࣲ مَّشۡرَبَهُمۡۖ كُلُوا۟ وَٱشۡرَبُوا۟ مِن رِّزۡقِ ٱللَّهِ وَلَا تَعۡثَوۡا۟ فِی ٱلۡأَرۡضِ مُفۡسِدِینَ ۝٦٠,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.",ﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚ,ﱪﱫﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊ,9,٩
68,Surah Al-Baqarah,سورة البقرة,2:61,٢:٦١,وَإِذۡ قُلۡتُمۡ یَـٰمُوسَىٰ لَن نَّصۡبِرَ عَلَىٰ طَعَامࣲ وَ ٰ⁠حِدࣲ فَٱدۡعُ لَنَا رَبَّكَ یُخۡرِجۡ لَنَا مِمَّا تُنۢبِتُ ٱلۡأَرۡضُ مِنۢ بَقۡلِهَا وَقِثَّاۤىِٕهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَاۖ قَالَ أَتَسۡتَبۡدِلُونَ ٱلَّذِی هُوَ أَدۡنَىٰ بِٱلَّذِی هُوَ خَیۡرٌۚ ٱهۡبِطُوا۟ مِصۡرࣰا فَإِنَّ لَكُم مَّا سَأَلۡتُمۡۗ وَضُرِبَتۡ عَلَیۡهِمُ ٱلذِّلَّةُ وَٱلۡمَسۡكَنَةُ وَبَاۤءُو بِغَضَبࣲ مِّنَ ٱللَّهِۗ ذَ ٰ⁠لِكَ بِأَنَّهُمۡ كَانُوا۟ یَكۡفُرُونَ بِـَٔایَـٰتِ ٱللَّهِ وَیَقۡتُلُونَ ٱلنَّبِیِّـۧنَ بِغَیۡرِ ٱلۡحَقِّۗ ذَ ٰ⁠لِكَ بِمَا عَصَوا۟ وَّكَانُوا۟ یَعۡتَدُونَ ۝٦١,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.",ﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼ,ﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋ,9,٩
69,Surah Al-Baqarah,سورة البقرة,2:62,٢:٦٢,إِنَّ ٱلَّذِینَ ءَامَنُوا۟ وَٱلَّذِینَ هَادُوا۟ وَٱلنَّصَـٰرَىٰ وَٱلصَّـٰبِـِٔینَ مَنۡ ءَامَنَ بِٱللَّهِ وَٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَعَمِلَ صَـٰلِحࣰا فَلَهُمۡ أَجۡرُهُمۡ عِندَ رَبِّهِمۡ وَلَا خَوۡفٌ عَلَیۡهِمۡ وَلَا هُمۡ یَحۡزَنُونَ ۝٦٢,"Those who believe (in the Qur´an), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙ,10,١٠
70,Surah Al-Baqarah,سورة البقرة,2:63,٢:٦٣,وَإِذۡ أَخَذۡنَا مِیثَـٰقَكُمۡ وَرَفَعۡنَا فَوۡقَكُمُ ٱلطُّورَ خُذُوا۟ مَاۤ ءَاتَیۡنَـٰكُم بِقُوَّةࣲ وَٱذۡكُرُوا۟ مَا فِیهِ لَعَلَّكُمۡ تَتَّقُونَ ۝٦٣,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai) : (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""",ﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹ,ﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩ,10,١٠
71,Surah Al-Baqarah,سورة البقرة,2:64,٢:٦٤,ثُمَّ تَوَلَّیۡتُم مِّنۢ بَعۡدِ ذَ ٰ⁠لِكَۖ فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَیۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَـٰسِرِینَ ۝٦٤,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.",ﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈ,ﱪﱫﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸ,10,١٠
72,Surah Al-Baqarah,سورة البقرة,2:65,٢:٦٥,وَلَقَدۡ عَلِمۡتُمُ ٱلَّذِینَ ٱعۡتَدَوۡا۟ مِنكُمۡ فِی ٱلسَّبۡتِ فَقُلۡنَا لَهُمۡ كُونُوا۟ قِرَدَةً خَـٰسِـِٔینَ ۝٦٥,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""",ﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕ,ﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅ,10,١٠
73,Surah Al-Baqarah,سورة البقرة,2:66,٢:٦٦,فَجَعَلۡنَـٰهَا نَكَـٰلࣰا لِّمَا بَیۡنَ یَدَیۡهَا وَمَا خَلۡفَهَا وَمَوۡعِظَةࣰ لِّلۡمُتَّقِینَ ۝٦٦,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.",ﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟ,ﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏ,10,١٠
74,Surah Al-Baqarah,سورة البقرة,2:67,٢:٦٧,وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِۦۤ إِنَّ ٱللَّهَ یَأۡمُرُكُمۡ أَن تَذۡبَحُوا۟ بَقَرَةࣰۖ قَالُوۤا۟ أَتَتَّخِذُنَا هُزُوࣰاۖ قَالَ أَعُوذُ بِٱللَّهِ أَنۡ أَكُونَ مِنَ ٱلۡجَـٰهِلِینَ ۝٦٧,"And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!""",ﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗ,ﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦ,10,١٠
75,Surah Al-Baqarah,سورة البقرة,2:68,٢:٦٨,قَالُوا۟ ٱدۡعُ لَنَا رَبَّكَ یُبَیِّن لَّنَا مَا هِیَۚ قَالَ إِنَّهُۥ یَقُولُ إِنَّهَا بَقَرَةࣱ لَّا فَارِضࣱ وَلَا بِكۡرٌ عَوَانُۢ بَیۡنَ ذَ ٰ⁠لِكَۖ فَٱفۡعَلُوا۟ مَا تُؤۡمَرُونَ ۝٦٨,"They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young, but of middling age. Now do what ye are commanded!""",ﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱ,ﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀ,10,١٠
76,Surah Al-Baqarah,سورة البقرة,2:69,٢:٦٩,قَالُوا۟ ٱدۡعُ لَنَا رَبَّكَ یُبَیِّن لَّنَا مَا لَوۡنُهَاۚ قَالَ إِنَّهُۥ یَقُولُ إِنَّهَا بَقَرَةࣱ صَفۡرَاۤءُ فَاقِعࣱ لَّوۡنُهَا تَسُرُّ ٱلنَّـٰظِرِینَ ۝٦٩,"They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""",ﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁﰂﰃﰄﰅ,ﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎﳏﳐﳑﳒﳓﳔ,10,١٠
